player,country,age,role,base_price_lakh,sold_price_lakh,team,capped_status,season,price_multiplier,is_overseas
Gurkeerat Singh,India,31,ALL-ROUNDER,50,50.0,GT,Capped,2022,1.0,False
Sean Abbott,Australia,30,BOWLER,75,240.0,SRH,Capped,2022,3.2,True
Alzarri Joseph,West Indies,25,BOWLER,75,240.0,GT,Capped,2022,3.2,True
Riley Meredith,Australia,25,BOWLER,100,100.0,MI,Capped,2022,1.0,True
Tim Southee,New Zealand,33,BOWLER,150,150.0,KKR,Capped,2022,1.0,True
Rahul Buddhi,India,24,BATSMAN,20,20.0,MI,Uncapped,2022,1.0,False
Ayush Badoni,India,22,ALL-ROUNDER,20,20.0,LSG,Uncapped,2022,1.0,False
Aneeshwar Gautam,India,19,ALL-ROUNDER,20,20.0,RCB,Uncapped,2022,1.0,False
Benny Howell,England,33,ALL-ROUNDER,40,40.0,PK,Uncapped,2022,1.0,True
Baba Indrajith,India,27,WICKETKEEPER,20,20.0,KKR,Uncapped,2022,1.0,False
Kuldip Yadav,India,25,BOWLER,20,20.0,RR,Uncapped,2022,1.0,False
Chamika Karunaratne,Sri Lanka,25,ALL-ROUNDER,50,50.0,KKR,Capped,2022,1.0,True
David Willey,England,32,ALL-ROUNDER,200,200.0,RCB,Capped,2022,1.0,True
Varun Aaron,India,32,BOWLER,50,50.0,GT,Capped,2022,1.0,False
R Samarth,India,29,BATSMAN,20,20.0,SRH,Uncapped,2022,1.0,False
Abhijeet Tomar,India,27,BATSMAN,20,40.0,KKR,Uncapped,2022,2.0,False
Aman Khan,India,25,ALL-ROUNDER,20,20.0,KKR,Uncapped,2022,1.0,False
Pradeep Sangwan,India,31,ALL-ROUNDER,20,20.0,GT,Uncapped,2022,1.0,False
Ramesh Kumar,India,23,BATSMAN,20,20.0,KKR,Uncapped,2022,1.0,False
Pratham Singh,India,29,BATSMAN,20,20.0,KKR,Uncapped,2022,1.0,False
Writtick Chatterjee,India,29,ALL-ROUNDER,20,20.0,PK,Uncapped,2022,1.0,False
Hrithik Shokeen,India,21,ALL-ROUNDER,20,20.0,MI,Uncapped,2022,1.0,False
Shashank Singh,India,30,ALL-ROUNDER,20,20.0,SRH,Uncapped,2022,1.0,False
Kyle Mayers,West Indies,29,ALL-ROUNDER,50,50.0,LSG,Capped,2022,1.0,True
Karan Sharma,India,23,ALL-ROUNDER,20,20.0,LSG,Uncapped,2022,1.0,False
Baltej Dhanda,India,31,BOWLER,20,20.0,PK,Uncapped,2022,1.0,False
Saurabh Dubey,India,24,BOWLER,20,20.0,SRH,Uncapped,2022,1.0,False
Lalit Yadav,India,26,BOWLER,20,65.0,DC,Uncapped,2022,3.25,False
Mohd Arshad Khan,India,24,ALL-ROUNDER,20,20.0,MI,Uncapped,2022,1.0,False
Ansh Patel,India,20,ALL-ROUNDER,20,20.0,PK,Uncapped,2022,1.0,False
KBhagath Varma,India,23,ALL-ROUNDER,20,20.0,CSK,Uncapped,2022,1.0,False
Ashok Sharma,India,19,BOWLER,20,55.0,KKR,Uncapped,2022,2.75,False
Arjun Tendulkar,India,22,ALL-ROUNDER,20,30.0,MI,Uncapped,2022,1.5,False
Shubham Garhwal,India,26,ALL-ROUNDER,20,20.0,RR,Uncapped,2022,1.0,False
Anunay Singh,India,29,ALL-ROUNDER,20,20.0,RR,Uncapped,2022,1.0,False
Mayank Agarwal,India,32,BATSMAN,100,825.0,SRH,Capped,2023,8.25,False
Harry Brook,England,24,BATSMAN,150,1325.0,SRH,Capped,2023,8.833333333333334,True
Ajinkya Rahane,India,34,BATSMAN,50,50.0,CSK,Capped,2023,1.0,False
Joe Root,England,32,BATSMAN,100,100.0,RR,Capped,2023,1.0,True
Rilee Rossouw,South Africa,33,BATSMAN,200,459.99999999999994,DC,Capped,2023,2.3,True
Kane Williamson,New Zealand,32,BATSMAN,200,200.0,GT,Capped,2023,1.0,True
Sam Curran,England,24,ALL-ROUNDER,200,1850.0,PBKS,Capped,2023,9.25,True
Cameron Green,Australia,23,ALL-ROUNDER,200,1750.0,MI,Capped,2023,8.75,True
Shakib Al Hasan,Bangladesh,36,ALL-ROUNDER,150,150.0,KKR,Capped,2023,1.0,True
Jason Holder,West Indies,31,ALL-ROUNDER,200,575.0,RR,Capped,2023,2.875,True
Sikandar Raza,Zimbabwe,36,ALL-ROUNDER,50,50.0,PBKS,Capped,2023,1.0,True
Odean Smith,West Indies,26,ALL-ROUNDER,50,50.0,GT,Capped,2023,1.0,True
Ben Stokes,England,31,ALL-ROUNDER,200,1625.0,CSK,Capped,2023,8.125,True
Tom Banton,England,24,WICKETKEEPER,200,0.0,UnSold,Capped,2023,0.0,True
Litton Das,Bangladesh,28,WICKETKEEPER,50,50.0,KKR,Capped,2023,1.0,True
Heinrich Klaasen,South Africa,31,WICKETKEEPER,100,525.0,SRH,Capped,2023,5.25,True
Kusal Mendis,Sri Lanka,28,WICKETKEEPER,50,0.0,UnSold,Capped,2023,0.0,True
Nicholas Pooran,West Indies,27,WICKETKEEPER,200,1600.0,LSG,Capped,2023,8.0,True
Phil Salt,England,26,WICKETKEEPER,200,200.0,DC,Capped,2023,1.0,True
Chris Jordan,England,34,BOWLER,200,0.0,UnSold,Capped,2023,0.0,True
Adam Milne,New Zealand,30,BOWLER,200,0.0,UnSold,Capped,2023,0.0,True
Jhye Richardson,Australia,26,BOWLER,150,150.0,MI,Capped,2023,1.0,True
Ishant Sharma,India,34,BOWLER,50,50.0,DC,Capped,2023,1.0,False
Reece Topley,England,29,BOWLER,75,190.0,RCB,Capped,2023,2.533333333333333,True
Jaydev Unadkat,India,31,BOWLER,50,50.0,LSG,Capped,2023,1.0,False
Akeal Hosein,West Indies,29,BOWLER,100,100.0,SRH,Capped,2023,1.0,True
Mayank Markande,India,25,BOWLER,50,50.0,SRH,Capped,2023,1.0,False
Mujeeb Rahman,Afghanistan,22,BOWLER,100,0.0,UnSold,Capped,2023,0.0,True
Adil Rashid,England,35,BOWLER,200,200.0,SRH,Capped,2023,1.0,True
Tabraiz Shamsi,South Africa,33,BOWLER,100,0.0,UnSold,Capped,2023,0.0,True
Adam Zampa,Australia,30,BOWLER,150,150.0,RR,Capped,2023,1.0,True
Shubham Khajuria,India,27,BATSMAN,20,0.0,UnSold,Uncapped,2023,0.0,False
